interventionDuration,resolution,timeIntervalUntilReIntervention,timezone,timestamp,app,interventionType,isReIntervention,purpose
6.0,openedApp,720.0,Europe/Kiev,1753682772.740841,youtube,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753683178.315761,telegram,askForTimeLimit,False,
6.0,openedApp,780.0,Europe/Kiev,1753683264.937869,telegram,breathingExercise,True,Entertainment
6.0,openedApp,60.0,Europe/Kiev,1753683431.022863,telegram,askForTimeLimit,False,
6.0,openedApp,300.0,Europe/Kiev,1753683439.676495,youtube,askForTimeLimit,False,
6.0,openedApp,480.0,Europe/Kiev,1753684036.3919911,youtube,breathingExercise,False,Entertainment
6.0,openedApp,60.0,Europe/Kiev,1753684722.3246732,telegram,askForTimeLimit,False,
6.0,dismissedAppOpening,,Europe/Kiev,1753685452.591998,telegram,askForTimeLimit,False,
6.0,openedApp,240.0,Europe/Kiev,1753686166.296681,telegram,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753686188.6281781,telegram,askForTimeLimit,False,
6.0,openedApp,180.0,Europe/Kiev,1753686444.159155,telegram,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753686853.3071032,telegram,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753686948.405518,telegram,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753687014.8221931,telegram,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753687041.198894,telegram,askForTimeLimit,False,
6.0,openedApp,840.0,Europe/Kiev,1753687061.6007829,telegram,askForTimeLimit,False,
6.0,openedApp,540.0,Europe/Kiev,1753687190.106844,telegram,askForTimeLimit,False,
6.0,openedApp,360.0,Europe/Kiev,1753687310.199082,telegram,askForTimeLimit,False,
6.0,openedApp,360.0,Europe/Kiev,1753687524.586518,telegram,askForTimeLimit,False,
6.0,openedApp,420.0,Europe/Kiev,1753687751.3258471,telegram,askForTimeLimit,False,
6.0,openedApp,480.0,Europe/Kiev,1753687800.763437,telegram,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753688391.555162,telegram,askForTimeLimit,False,
6.0,openedApp,300.0,Europe/Kiev,1753688445.5497031,telegram,askForTimeLimit,False,
6.0,openedApp,360.0,Europe/Kiev,1753688563.493126,telegram,askForTimeLimit,False,
6.0,openedApp,660.0,Europe/Kiev,1753688789.052215,telegram,askForTimeLimit,False,
6.0,openedApp,420.0,Europe/Kiev,1753688884.279348,telegram,askForTimeLimit,False,
6.0,dismissedAppOpening,,Europe/Kiev,1753688997.555397,telegram,askForTimeLimit,False,
6.0,openedApp,360.0,Europe/Kiev,1753689116.622081,telegram,askForTimeLimit,False,
6.0,openedApp,360.0,Europe/Kiev,1753689615.654214,telegram,breathingExercise,False,Message
6.0,openedApp,540.0,Europe/Kiev,1753689724.294558,telegram,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753689849.603589,telegram,askForTimeLimit,False,
6.0,openedApp,60.0,Europe/Kiev,1753689960.259138,telegram,breathingExercise,False,Message
6.0,openedApp,60.0,Europe/Kiev,1753690160.933003,telegram,askForTimeLimit,False,
6.0,openedApp,1260.0,Europe/Kiev,1753690637.012754,youtube,askForTimeLimit,False,
